category,vendors,text
Electronics_5,QW,Card works fine until my Mac Pro 8-core goes to sleep. After that it seems impossible to restore USB connectivity. Sonnet claims the issue is that Apple broke/changed the USB driver since Mac OS X 10.6.  Read their FAQ before purchasing!
Electronics_5,MX,"A great monitor for the money. We had ACER monitors where I worked several years ago, so I was confident that I would get a good product and I was not at all disappointed. I needed a space saver to replace an older tube monitor for our desk computer.  The all black case looks very nice and clean on the desk. All cables were supplied...just plug and play! Picture is bright and easy to read text from many angles. So far I've only been using this monitor in the ""normal"" mode and haven't taken advantage of its 16:9 capabilties."
Electronics_5,PH,"Let me start off with the packaging.
1. It doesn't say ""Plus"" anywhere on it.
2. The information on the back isn't always correct. It says it has a mini-usb for example when it really has a micro-usb.
3. The packaging looks like something you'd get in a airport vending machine. Not very high end at all.

What is more important is the product itself.
1. It's much lighter than expected. It's a good thing for headphones, but it does make it feel unsubstantial. The diameter is about the size of a silver dollar.
2. The shiny black plastic looks like it will damage easy.
3. The logo in the middle looks like it should be a button. It isn't.
4. The front buttons are easy to access, but the volume buttons on the side are harder to feel.
5. The blue light flashes when it's powered on.
6. It stores in a very small spiral that can be like a puzzle to unravel until you get used to it.
7. Overall it is very comfortable and easy to forget you are wearing. Doesn't fall off easily.
8. USB port is covered by a little rubber flap that isn't very reassuring.

Most important is performance.
1. Bass is underwhelming. Sound is on the tiny side.
2. Connection strength is very good. Easy to walk around the house and not lose connection.
3, You can still easily hear the world around you at normal volumes.
4. Battery lasts as long as advertised and charges quickly.
5. You can still hear the trademark ""bluetooth buzz"" when the sound is low.
6. Microphone isn't very good at hearing you. Constantly had to talk louder than I would have with a phone.

Overall I feel like it is a solid product for the price. Will it win awards in... anything? Probably not, but it is still a great value. I feel it would be a five-star product at $30-35, but at $50 it's still a solid option for small, over-ear bluetooth headphones. The main downside is you can find unbranded versions of these headphones for ~$20 on Amazon, still with Prime shipping."
Electronics_5,EG,"I had bought the JBL-C6500 and it was a nice little drive. I just wanted a drive that had a nice, solid feel and the JBL-C6500 was just the right size.

I am very pleased with the drive. I am very happy with the design. I have read the reviews and I can't wait to see what the JBL-C6500 will look like. I am very happy with the drive. I am very pleased with the design. I am very happy with the drive. I am very happy with the design. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive. I am very happy with the drive"
Electronics_5,NG,"I want to correct previous issues with the case, which I did not notice until I received the cover.  I had to replace the case with"
Electronics_5,ZA,"Pro: Nice exterior, can view iPad 2 in portrait or landscape, secure strap
Con: Although 3 positions for portrait or landscape, the iPad will slip from one of the slots depending on view position.

My usage: The screen cover was good, but make sure it is very clean of lint before applying. The pen is very light, but does the job."
Electronics_5,LAG,"The TDK A 33 is a real shame.  The sound is not that great, but the speaker is so small that it's not worth mentioning."
Electronics_5,QW,Not the easiest protector to install but once it's on you'll barely know it's there
Electronics_5,LA,"These work great, and just the right size for an external charger to keep in my purse."
Electronics_5,PS,Does the job! I planted mine and it looks pretty awesome
Electronics_5,ABJ,"After you load the software, go to the menu and choose ""Run as administrator"". I ran the admin program from the menu and it automatically installed the drivers for you. After you do that, go to the menu and choose ""Run as administrator"" from the menu. I did not have to run"
Electronics_5,SA,"Placed the old laptop drive (with some bad sectors) in this housing and recovered most of my data. Inexpensive, but has a solid case. Would definitely recommend."
Electronics_5,PH,"I previously had an antenna that broke and the cord broke too.  This is the first one I've had.  The second one broke and the cord broke too.  I sent this to a local store and it worked fine.  I'm going to use it to provide internet to my son.  I also wanted to ensure that the cable was not tangled up with the cable.  I went to the store and bought a new cable and it worked fine.  I'm not sure if this is a good idea or not, but I'm not sure"
Electronics_5,SA,"This system is fine if you are close to it, like the computer or video games, but for entertainment center use, it's just not as great as I was hoping. Sure, certain DVD's are louder, but some I've tried just are not as loud as I'd want with this system. I'd be better off hooking it up to my old component stereo system to get the loudness I want. I admit, the subwoofer puts out good bass, but the main speakers just don't have enough loudness."
