vendors,Label,cleaned_text
ABJ,Average,small doesnt last long price decent bit flimsy works part battery life approximately 4hours ipod touch 2nd gen 4 bought protect old computer little heavy small screen doesnt fit computer bag okay take little getting used make case nice feel rather bulky protect falls learned hard way dropping ipad one corners using case cause screen shatter offers real protection ipad want love fm much static antenna connector would nice cant read markings buttons dirty already showing orange rubber mini sound card slot work problems mine bother people unit wellmaden product ipod touch 2nd generation powerful pair ear buds used trs80 still working well pair headphones cell phone going initially gave product 4 materials thick enough hold screen adhesive sticky product also works well cover canon eos rebel t3i returning replacing update 2 months use adhesive become sticky case 60 materials good enough reason gave 4 stars plastic parts small fit comfortably case case made plastic plastic part bottom soft large laptop great optioni return product love radio good brand issues first seemed use lot juice seemed putting batteries every often much pain discovered station program radio way blank program another station preset words way clear presets tried tried avail thrilled radio seen gone back simply little sony radio costs 30 bad boy rugged easy use lasts forever one battery sangean takes two nothing special good inexpensive headphones comfortable ears head phones fit top ears using foam covers fit tight yet fall head easily course exercising phones maybe someone else comment ability stay head workout nice convenience ear phone cups rotate flat would like compact hang around neck use money less 1200 adequate walk dog eats much loss bad replacement earbuds prefer descent set portable headphones notice lot earbuds actually reduce exterior noise better cups bought mouse use surface 3 since surface pretty limited usb slots thought would best bluetooth mouse wouldnt dongle filling singular usb slot also wanted small mouse could easily carry laptop bag mouse great terms two things actually happy mouse upon arrival connectivity easy size great look mouse nice 4 months use find left click starting stick happening twice per day feel like problem thats going get worse time im hoping im wrong shall see started happening even 1 year daily use would feel like gotten moneys worth happening 4 months disappointing acer aspire bought 2gb ram overall quite fast enough uses microsoft office products wireless works good love unit usually apple guy really wanted mac air buy drive load software watch dvds plus tax looking 1300 dollars decided since really use traveling would better deal big negative unit however touch pad terrible almost unusable use mouse really anything else go crazy wasting time trying point click areas want pad sensitive enough even adjusted much possible mouse works great really big deal least way use continually use pad would dump something else minute overall though good machine though good board bought sons third generation macbook air disappointed replace solid state drive working replaced old one one also frustrated replace motherboard new one want waste money product could used board nice improvement previous one easy program runs smoothly products kids computers one features better value problem installed number programs macbook like fact fan complaints board dont recommend board anyone bought new board good would recommend board anyone like item works advertised easy set use macbook pro able control wifi settings old computer great laptop would recommend product anyone bought protect ipad ipad mini canon eos 7d great quality superb works perfectly cover easy protect complaints great price works advertised
ABJ,Bad,work ineffective poor design horrible instructions didnt work foscam way fix use got nov 2 2018 thing like screen didnt care raised mic reason gave 4 stars well documented easy case break reason gave waste money hate buy garbage bring home beware product waste buy older model ac adapter youre good go im audiophile bought tvcapture card spare adapter need separate adapter wanted looks like seagate central quality isnt good either downside case seems unfortunate micro usb connector failed 35 days continuous use cant charge cant use basic design fault bought works fine keep next onei bought friend unable get work phone tried using bluetooth adapter worked fine using trs older version thing say screen bright bright thing say cover large seems work time ive short times play plug get work pie shows low power working every 10 minutes right box couldnt connect directions help well tech support sent back cheaply made wont withstand much use im obstacle races triatholons etc ill wait generations tried charge laptop locked sony laptop vista os never locked managed unlock apparent damage pc obviously cant charge flip cant use poor quality ball joint doesnt work two drives downside top drive doesnt stay case wont stay case bunch old ones small downside top bit small get light inside case case made plastic cover huge creative decision design sound fantastic reason gave 4 stars front speaker slightly tall hold properly way get stay bought two using two weeks one broken one broken running consistently week issues sound ive already returned case bottom piece would say snapped keyboard cover great colors case vibrant really flashy bottom piece fixed case would great save money purchase sleeve purchased acer 15 inch chromebook fit laptop fine large size handles large heavy one hand like would tablet sleeve got new 1 star quality sound larger speaker setup may want look pioneer hlink hd speaker smaller pioneer going load software go menu choose run administrator ran admin program menu automatically installed drivers go menu choose run administrator menu run horrible bought use bluray player hadnt gotten around using past returnable date discovered wont work blu ray drive slipped problem plug computer spins computer doesnt recognize thought might driver swapped another problem worth effort nice small size professional appearance backpack looking agree posters though zippers poor quality stick straighten teeth get work dont pull hard back straighten teeth try kind pain concerned longevity update 81616 continued problems cheap zippers backpack held well materials seem high quality zippers stink dont work time unit didnt work right box intended use transfer old vhs tapes dvds never successful really picky dvd blank would accept finally found one appeared work followed directions copying got indications successful put dvd computer wasnt anything therewent three times gave bought transfer software computer ended using vhs player transferred files digital format computer ruling error part couldnt make work thin slim fine keep ipad casei bought friend happy purchase thing wish bit space battery charger small enough fit pouch easy hold standard length cord charging nice size like strap longer standard strap nice use ipad fits perfect color good contrast purchased product option tools menu change aspect ratio 169 43 called company toldtoo bad must early model way fix inquired wisdom designing product use aspect ratio consistent image produced cameras toldit wasnt decision even could change aspect ratio leaves part screen wasted cannot turn start slide show device frame consequently dont think would get used much bad product bad attitude company deserves go broke also belkin ones sound good nice mellow bass treble also good im pleased purchase little thin big love 2 ports top thumb drive little bulky like like fact usb cord im worried getting tangled included usb cable works great transferring music videos also spare usb cable storing variety programs update 31215 well look see sonys response lame reply like comment sorry wouldnt organization try make right smart response would say email send lens cap buy amazon fits hey sony really blew itnow everyone see stinky purchase customer service sheesh joke sure share story everyone original review well camera 15 years say takes amazing pictures nice step pointshoot brands perfect size grab take anywhere fits well small bags purses etc sole complaint huge one zero info lens size finding replacement lens cap nightmare sigh wasted tons time talking product experts sony theyre bright products cannot find lens size tried camera stores luck finding replacement cover bc lens threaded means order one sony pay ridiculously high price new lens cap postpurchase drag lesson leaned stick brands main stream camera parts simple thing like buying replacement lens cap big hassle youve lost future business sony
ABJ,Good,good camera works well problem takes get used always great cables buy one never regret two pioneer twelves old pioneer trs40 love ipad kept goingworks greatnice little speaker works great love sounds great looks great thing wish would best ones ive used im sure would recommend stated reviews im pleased worked great would recommend itemgreat productvery good qualitynice little speaker works great absolutely awesome mic make hundreds videos awesome please bye hit spot needs fan headers stable performer right one old model sony camcorder use hold ipod ipod nano reason gave exactly looking nice color good case good basic case pretty good stand capabilities price range love things love sound speaker compact fits devices snuggly dont worry losing designed works larger head dont see difference two two similar way works simple look picture see made strong moderate size surge protector problem small desk little large compared others works great hdsdi plus video outputs makes versatile amazing motherboard running 7600k intel 1360k i7 love great stand stylish quality make nice stand price good sound hear highs lows music playing background love inner circle life wish could find one one best cases ever bought keep case collection would buy anything else comfortable shoot long periods time third toshiba canvio external harddrive ive bought happy nice product hooked seconds works well computer phone highly recommend simple functional responsive reliable several years keep purchasing fans amazing price super quite unlike pricier bown black fans simple design works great reliable quality make nice addition hope products describedwe love lens one nobody see screen plus also works antiglare exactly looking purchased 8 inch polaroid tablet fits perfect exactly advertised needed great bluetooth mouse never thought would make much sense ive bad experiences bt mice great microsoft simple product simple web interface materials good reason gave 4 excellent product works great fast connected ethernet self passed wifi works perfect installed notebook recognized immediately without kind problems great product great product like itworks great thing wish little better speaker searched read reviews item reviews positive downside super easy setup software needed built camera picture good controlling camera via web simple bag right size bag sony hdrxr500v camcorder cables accessories remote spare battery memory stick great range quality amazing case keep eyes peeled next one work great perfect fit though whole lot comfortable reason gave 4 great price gigs little guys work great hold photos music etc share w friends bluetooth 30 nano usb adapter works good range never skipped beat fuss complaint works great quality seems good huge deal good enough nice little speaker fast quality ram ive year im still happy performance quality blank empty containers hold dvds shipped fairly fast meet needs storing dvds cheap enough also bought daughter use ipad 2 work well extra space great wire easy work ran 5 lines resultant sound great must home entertainment system fast ssd drop bucks youre good go downside case nice bag complaint doesnt fit front pocket ipad minigreat product great price little pouch seriously though fits fiio e11k headphone amplifier pair reserve earbuds thats ask bought tamron caps longest time tight lens wont fall exception get works like charm quality make nice addition home entertainment system case fits kindle fire perfectly materials thick enough make comfortable carry replace works really great replacement old walkman wife loves sounds amazingly good radio pretty good use sandisk cards sdhc cards need downside card bit pricey san disk micro hcc2307w great product price small folded bad case problem comes small screwdriver replace case hey barrel adaptor sexy thumb tacks works like champ well finished cant say much barrel adaptor love card easy install connected immediately ipad iphone highly recommended looking convenience wifibeats buying new camera antenna system works great old pioneer tivo antenna got local electronics store antenna solid works someone obviously used photoshoot returned amazon since bought great discount warehouse could care less since 100 functional bought use stylus materials good large collection styluses one far best stop loud shuffling sounds make feel like youre listening loud music source friend said tv ordered wife large wear trying sleep returned go instant hassle refund lookednice large piece come ring light holds camera center ring light allows easy adjusting must ring light photographers item finish extremely well done reflection works good black white items far really complaints thank definitely buy store mario headphones sound like ones bought nice bonus one bedroom office sound crystal clear works nicely customize pain double press button hold one 16 seconds yadda yaddawith time patience youll get want far sound bought way lengthy since excellent cables dont mind find use 80ft left haha get banana plugs youre good go use store ipod ipod nano also use store ipod nano using trs80 couldnt test america worked perfectly field saved lot time space clutter handled 2 ipads 2 iphones camera battery recharger fine 3 weeks son bien soportan aproximadamente 6 horas de uso lo unico tienen calentar las orejas si te gustan con full bajo son para ti por eso le doy 4 de 5 gustan mas los sonidos agudos bought replace canon oem cap lose itits matter pinch mechanism works well fits well original bought canon 18135mm stm lens would certainly recommend bought bad boy craigslist 75 amazing picture although havent figure change channels yet get nickelodeon update turns bought chalkboard spongebob sticker nicest cable ever used cheap wires fabric texture light weight slimness strength best ever seen buy one headphones 35mm input wont sound better feel better use keyboard manage servers company work compact capability get mouse keyboard single usb amazing 5 stars seller manufacturer great protective case works good like lot little bummed one rubber war covers fell cant locate never check make sure secure giventhree sizes ive used camera ever since attending one direction concert made concert memorable hi def recording feature pictures turned wonderful easy camera use im happy purchase cheap worki love look feel case one bedroom office sound crystal clear nice little extra space researching bluetooth speakers found quality good enough using sony bose e3500 year issues sound excellent thing screams real professional quality product also strong one want get feet wet trs80 go great laptop would recommend item highly recommended thank youvery goodi bought friend happy purchase thing wish easily installed perfect screen replacementi love look feel stylus fits sony 6d perfectly happy purchasethis great product well made great easy use love feel lens zoom awesome want get dslr full zoom get 1655mm one go cell phone keep ipad onei bought friend happy purchase thing wish little bit better would say best part product way speaker placed plastic part clear cover sturdy complaint seems actually im impressed cases im sure screen screen protector screen protector screen protector case thick hard get good grip lights work great looks great materials good also like fact bottom adjustable front camera adjustable back adjustable thing wish little bit wider gift knew neighbor wanted cant say sure husband helped installation worked fine im assuming everything expected hard rate something like cable say looked perfectly stable like cable love samsung video quality mic wide range response microphone easy use mic also bit small dont mind bulky problemi thinking buying ear buds filter ambient noise well inline volume control means easily change volumes quickly move wear work 10 hours day 5 days week barring accidents count lasting 3 months love em 0 complaints sure cord short longi bought friend happy purchase thing wish little bit longer price great card amateur lot internet connectivity youll probably find card bit slower stock card game pretty great card well worth price would recommend card anyone im using power supply htpc setup love whisper silent great im watching movies tv old psu sounded like wind machine sort im impressed power supply strongly recommend anyone looking quality psu price man cards sometimes fall open keep facing open thought 8 cards would enough quickly found needed bigger caseso small gig water may come play get cant compare ones great product price highly recommend itif looking basic cable quality great price greati use dualcore gpu product truly amazing hadnt heard product car old mine thought forced listen radio burn cds found deals website bought immediately never looked back worth price even isnt sale researched similar products purchasing two sandisk flash drives used month find product meets expectations flash drives great good deal price paid much less purchasing locally less quality card worked without problem easy setup reason gave 4 stars plastic parts small fit comfortably inside case case made plastic would liked protected case scratches never experienced lag problem takes battery recharge gets next charge battery great little battery lasts dies would recommend iti bought replace broken one bought vgaonly monitor connected one towers recently vga port went adapter trick perfectly quite simple vga cord plugs adapter adapter connects via hdmi tower device price im extremely happy purchase easy fix 25 shipping amazing case looks nice strong sturdy using trs80 still working well would definitely buy againi bought replace broken one ive using cases years wonderfully compact safe storage large collection close 20 cases added simple labels individual binder cover avery dots number pages makes easy find disks put disks put back found problems scratched disks bag well made quality good bag dimensions right needs using trs80 comfortable well protected zipper thick flap large love bought 20 discount works fine keep review couple months great itemworks great sound great used 50 amfm radio worked great used long time got havent long enough say least say using happy performance using nikon d3100 canon d3200 well canon d3200 nikon d3200 since first time using external external drive im sure would recommend producti lot trouble tv cover flimsy hard get cover come excellent purchasei bought replace tv installed got wife kindle fire holiday type person needs case loves green green case could find fire absolutely awesome almost like faux leather loves importantly kept kindle safe scratches dings already roku earlier model use predisposed towards buying another one hd model different menu set xl thats okay sort keeps one attentive event lot movie streaming amazon netflix find roku delivers quite nicely also many channel offerings competitors get one around 70 amazing value part inexpensive greatsounding system garage remarkably small produces excellent output volume sound quality new world small tamps assumed largeexpensive receiver would required setup glad went amp well worth cost ordered wrangle cord mess work great would definitely buy velcro works rather well seems good strength big enough 56 cords im securing package held enough ties one complaint wish secured bit different way completely fine hold cables place one things want try need new router best router best one used connect older router new router different brand worked great havent used new router new bought v1253 years ago loved first day use sd card cards gets filled 350 pix 1gb cardi save put another one nice screen battery stays long time without recharged carry pocket love im satisfied purchased two last year running well time realize 80 plus meant anything learned readingnbspa datahookproductlinklinked classalinknormal hrefgreentechhowtoplanandimplementsustainableitsolutionsdp081441446xrefcm_cr_arp_d_rvw_txtieutf8green tech plan implement sustainable solutionsa per wiki certifies products 80 energy efficiency ive saving energy well good product bought headphones due great price solid reviews see rated well cannot believe quality little earbuds produce feel solidly constructed earparts great job keeping outside noise use gym great job drowning often vulgar teenagerslol grab buds nice adjustable load usb got mainly verifying capacity battery packs battery banks 35v input 5v1a output usb adapter stop watch verify much liion rated ill go history discovery set 1amp load fan keeps heat sink ambient temperature great e toy us old retired vtvm folks need entertainment perfect looking nice pair small desktop speakers wanted hook pc amp connected computer 5 minutes sound fairly clean cant really tell totally clean cheap sound card amp speakers price great deal perfect adapters unbeatable price remember step updown voltage device 110v us use plug 220v eu destroy device make sure appliance rated power source including frequency 50 60hz depending country frequency immediately destroy device definitely shorten life device input power requirements cord plugs body far good ive months used hand full times works well havent issues beside instructions werent clear appears though doesnt work first time use unless press button back longer seconds ive issues works well decent price bought mouse replacement old logitech mouse working flawlessly im happy got mouse great mouse im happy would recommend iti bought replace older machine bought mother wanted something builtin dvd player could use usb hub gave camera wife loves larger camera like dslr dslr t1i use camera aware camera average person average person camera probably good camera also use lens hood canon laptop bag works great quality materials need large one small one using trs80 comfortable strap drop floor drops single motion trs80 opposite side couch able put 5th snugg ipod come first one affordable using trs80 amazing good value pricei bought replace broken one bought tv want replace since tv working tv tried replace putting nice compact easy carry keep bag use travel using trs80 still working well nice addition collection purchased device sister use remote control sony a100 ive device years love look changed life wife happy spend money trying make favorite games go 144hz full detail time happy hair often fine seriously push 60 fps 1080p time amd card look getting difference 60fps vsync 70100 freesync amazing things look real solved coverage problems cable company 5ghz works flawessly reach corners home without losing signal strengh youtube videos load ipad 1080p surprised big difference tiny router could help 4 antennas 26db power compare routers antenna power output nice usb port front could leave information photos music access via app iphone nice plus didnt find complaint easy setup gorgeous great lens ive used couple years still good also love fact lens made aluminum really good lens lens excellent love love fact use auto focus feature use im shooting portraits videos zoom excellent love small looking mk520 combo considering price battery life comfort mouse keyboard mind dont better price point mouse batteries lasted year computer 12 hours day work change keyboard batteries period keyboard decent feedback typing lightweight mouse fantastic people average size hands 5 like said buy already used work last two years works great one broken screen replace tv solid job good value moneyi bought replace broken one 2 pcs installed home solid unit installed original computer works fine easy install works well thing wish bought mine upgrade stock garmin need gps new pair garmin using trs80 require gps using year faltered continue use buying another pair wifewe bought new apartment budget couldnt afford better camera home office price right first digital excellent product mounting cell phone wall plenty room even cell phone case used cell phones make sure read directions first beware unless smooth walls adhere rough stucco walls house paneling another part stick properly come problem used blank outlet covers made plastic screwed covers wall installed product blank covers method works good iphone 4 5 similar sized phones know homes sheetrocked walls work fine bought work conjunction withnbspa datahookproductlinklinked classalinknormal hrefseismicaudiosaplate2dualxlrfemalestainlesssteelwallplatesdpb00fw2etyerefcm_cr_arp_d_rvw_txtieutf8seismic audio saplate2 dual xlr female stainless steel wall platesa pros us working upgrading expanding church sound system need microphones relocating wall plates xlr mic inputs last thing us want get floor confined place solder microphone wires backs traditional soldertype xlr connectors like see back thesenbspa datahookproductlinklinked classalinknormal hrefseismicaudiosaplate12singlexlrfemaleconnectorstainlesssteelwallplatesdpb00fw2ewlorefcm_cr_arp_d_rvw_txtieutf8seismic audio saplate12 single xlr female connector stainless steel wall platesa bought face plates removable connectors replace adapters take modular route ready made microphone cables love thing mythtv backend server running photo kiosk computer celeron dual core 2gb picked ebay next nothing actually worked well became unstable got one 4gb memory sandisk ssd silent fast works great want run linux headless grub default grub runs terminal without anything plugged pick resolution lower video card display stop booting configure grub run console rather terminal fix hopefully save someone spending hours figure really like alarm clock far works well iphone ive small issues occasionally put iphone cradle start charging phone wont play audio ive happen maybe twice since bought 2 months ago think something youre playing song already plug phone dock looks great really like dock slides back clock youre using dimmer nice wish would maybe go one shade darker audio quality superb considering size overall im happy money spent unit compared ones available amazon bought canon dslr thing turn use mount get camera mounted right place bought camera replace canon 24105mm f28l usm want f28l lens wanted lens could use canon dslr used lens yet reason gave 4 stars dualframe zoom zoom ring manual focus never used zoom ring manual focus clock cute durable got little girl would teach responsibility getting love pink color lights pink covering pink silicone set time two buttons top alarm set button left side use hour minutes buttons along alarm set button set alarm use button right side cut alarm also snooze light button top see time better dark push button clock illuminate 5 seconds see time runs 3 aaa batteries included thank taking time read review baofengs pocket amateur radios better ones site builtin speaker sounds good also separate subwoofer good subwoofer placed middle house near edge house low hum also rear speakers placed position front speakers speakers small low sound front speakers small low sound rear speakers small low sound front speakers small low sound really cant day enough ipod admit using sony external hard drive time issues sound great overly loud one reason bought large laptop great option cant wait try sony drive cant wait try sony love product using month price right huge fan front door locks back door locks work keys happy product would recommend anyone definetly best photographer know make good portrait best results nikon canon cameras difficult get good shots pleased quality photos taken continue soi return product defective able get work onboard pc bought pc reinstall software disappointed product quality product used couple times working fine would definitely recommend producti bought replace old sony dsl great headphones casual use wear listen music phone walk tofromaround school watching videos laptop pros indeed light sleek dont look bulky great sound dont cancel noise well didnt want complete noise cancellation anyway think dangerous youre walking street adjustable comfortable come pouch offering protection come 1year warranty amazon cons arent foldable wish compact best rotate swivel ear cups flat position arent many colors choose dont look feel expensive granted arent expensive lightweight shouldnt mean cheapfeeling plastic would buy product price want nothing nothing less price rig steal rigs priced way high often hard find rig affordable price without writing huge written review ill tell good things rig bad things one reason think one soon pros decent build quality amazing decent follow focus included matte box included light weight quick release mount price easy put together 15mm rod system cons matte box plastic everything built well matte box reason rise mechanism follow focus dslr battery grip cant use ff im trying find possible solution rails pretty short think one buy get matte box ff cheap price upgradable add things later 15mm rods allow change different matte box ff choose upgrade one day get essentials since built model small bulky replace couple first one broke months fixed days great device money portable player tablet laptop also use play games ipad reason gave 5 stars small light display small fit case huge plus recommend othersthis great product use new ipod touch believe quality product great producteasy setup hdmi cable little bulky works well enough downside hard get good signal existing outlets mainly due lack large outlet right side tv overall good tv update find something add reviewi installed new router used connect new pc new router router worked great hours pleased purchase highly recommend itgood quality great price seems work great pleased purchasethis best case macbook pro ive complaints light compact well purchased card last resort attempt cure wireless connection 2 family house access points 1st 2nd floor overly large house try might could get consistent signal parts house built lan card gateway laptop moved routers tried different antennas downloaded updated drivers even bought new router downstairs would get 1 2 bars living room multiple drops last resort thought disable board wireless try wireless card laptop pcmcia card slot limited wireless express least expensive card could find say works great drops strong signal even outside great purchase vista laptop install software used windows software turnkey fix keyboard cover review bought grey protect keys 2017 mba liquid spills would offer protection light splashes full spill dust crumbs fit really good lines perfectly doesnt touch damage screen laptop closed typing harder press keys harder matte somewhat tacky finish keyboard cover means traveling around keyboard takes getting used gripe macbook keyboard backlighting seriously encumbered cover cover transparent characters key labeled meaning light doesnt shine light get around key dim dark area good seeing keys like cover like super thin protection offers typing keyboard cover requires getting used really wish letters number key illuminated thats complaint true ergonomic mouse work computers 10 hrs day previously using logitech mouse wrist pain started feeling searched better one found one say good find using one around 4 months sign wrist pain also buttons comfortable additional window button comes handy day day use battery wise also good always keep since auto battery saving feature runs good 3 months couple aa batteries would given 45 stars since option settle 4 reason connector build good cam apart couple months careful putting computer taking otherwise become like mine see last picture well big fan wideangle lenses wide angle view best situations plastic body makes difficult slip lens without damaging lens excellent situations 25x zoom also fantastic auto focus fast easy pull items still get focus zoom also good although noticed zoom range good hoped really impressed lens recommend othersthis good sound system using 3 years tell works perfectly gripe battery life good speaker system samsung phone using month tell battery life good system would definitely recommend looking bass bass good enough highs pretty good mids nice theyre good highs im sure much bass would prefer excellent product love works great want cable fall charger didnt want worry falling like cable longer cable came device would buy case right size needs used couple months still working expect would recommend case looking thin lightweight case good feel complaints design would recommend case anyone looking thin lightweight case best router ive ever used speed good price right ive using 4 months works flawlessly overall quite happy lens ive used couple years best good enough good lensi bought use kindle fire hd2 used yet considering 2nd one also issues far problems pleased itthis great product price works well wish built speaker pros good sound quality low cost excellent battery life good sound quality good battery life great price item cons looking little bass look complaint battery life pretty short used week happy results looking replacement battery happy product looking decent affordable replacement battery happy product ordered product hoping find easy way connect power supply computer easy connect power supply computer works great thing wish little bit better price large laptop lot features cost 100 buy unit wish little depth buy another one get work bought replacement old version ipad mini ipad mini longer usable stopped working fullsize ipad special features like ability take photo web browser little thing useful taking pictures flowers waterproof screen old version picture clear way see name date photo picture good picture quality find picture grainy picture quality good good ipad mini picture quality good would highly recommend product bought works great macbook pro world selfies impressive feat performance photos arent vivid video theyre clear image crisp clear issue compact large camera bit heavier cameras capacity little larger camera body im considering purchasing second camera great camerai bought christmas present wife mid30s loves worked flawlessly use christmas gift love great camera price recommend camera anyone camera 50si bought replace old bluetooth headphones ear husband loved sound headphones fact made durable material love built speaker used connect back ear still comfortable perfect husbands ears also like fact small speaker uses listen music wearing happy purchase would recommend anyone considering buying productmy husband loves loves cant believe much loves 2 gig version hd 6450 10 1 gig version deal game need super oc card use cpu hogging music software want graphics card stay busses much possible run without cpu support also fan big nono driver problems fuel serviceexe file seems used card turbomode turned turbo stopped fuel file running msconfig seemed work installed newly available catalyst driversoftware see happens next havent turn fuel yet amds software well conceived easy use one exception using hdmi port times viewing hulu lcdtv well dual displays adequate info set dual display system absolutely nothing use hdmi port clue detect hdmi first set preset get figured see beauty many presets suit need software quite versatile run software select preset voila new varied displaygraphics setups different characteristics functions suit software needs last card nvidia based pny defective registered warranty pny want give new card without sending defective one first meaning big downtime shame ill never buy another pny product bought xfx 6450 instead glad without question much better card well worth buy one ive xti month bought amazon really improved photography others even commented ive shifted new gear features nice improvement dslrwannabe panasonic fz30 image quality thats really big step get bestquality lenses kit lens youll happy pros image quality ergonomics common settings easy change good displays battery life 200 shots 50 flash battery still said 100 user manual decent though stellar long exposure noise reduction feature good good set customization options though manual doesnt explain enough cons canons organizereditor software digital photo professional always crashes windows pc technical support help hand grip small height volume large hand make sure handle one first train squish three fingers space provided pinky didnt hang bottom real step backwards original digital rebel settings use lot hidden far menus sensor dust cleaner wont get everything manually blow dust sensor blower breath 1 week got though sensor dust since conclusion im glad bought camera look forward many years using btw amazon farms order another vendor wont get free shipping youll contact vendor separately get order tracking number care see photos camera flickr ordered body wo kit lens instead got canon 1740mm l zoom canon 70300mm zoom point ill add canon 50mm 18 lens 2007 honda element inch longer original one couple inches long plastic parts also light easy remove plastic part still durable pleased quality case thing would change color caps happy case would recommend anyone looking case protects camera provide extra storage space items bought wife use ipad mini works perfectly loves doesnt lot space store anything ipad dont need worry uses lot things including drawing pictures etc loves itworks perfectly problems software even keyboard like fact see scroll wheel works thing wish audio consistent ipod touch little better hear keyboard better audio overall great little keyboard use ipod iphone laptop like small big fits ipad perfectly like little bit clickwheel little heavy issues great price works great great sound sound quality excellent work office want make sure computer date excellent choice using trs80 require power adapter would recommend producti purchased device sister use remote control sony a100 ive device years love sound excellent sound quality great would highly recommend deviceive owned month problems exactly wanted sound good easy use ive problems would recommend anyone looking good pair headphonesive using lenovo thinkpad xps 13 ive months seems working fine issue wireless need use bluetooth headset however sound quality good hear keyboard well would recommend productive lot troubles sound sound good bass good didnt like sound speakers really liked fact sound good sound good enough easy problem solve id recommend speaker anyone looking good sound systemi bought camera take picture landscape view family christmas tree
AD,Average,hard find signal doesnt static didnt get 18 mile range works ok mile microphone works well people tell however think skimped ear piece part doesnt reproduce clearly enough product good whole lot say best part nice solid construction plastic sheet metal bracket waferthin materials thick enough hold variety devices replace solidstate drive new one look real freaks visitors four units three led lights worked installed four weeks two still working put fresh batteries still two still red led working leds working would give five stars cd player died 3 years light usage suppose thats things made days cd walkman 90s still works im extremely disappointed paid 50 something shouldve cost 20 battery backup really horrible quality speakers extremely bulky break soon feel like 25 star rating pros great little keyboard tablet cover pretty good solid cons material falls apart easily barely week magnetic piece material keeps closed coming days fell didnt fit tablet well liked cover fell apart way soon purchased use new macbook pro need hard drive wanted way store small amount music movies great product highly recommend iti use dualcore gpu htpc 25 macbook pro macbook pro dual cores htpc well ive using quite sometime honestly dont like much fact ive actually bought two sets makes even worse ill keep review short simple pros 1 easy install use 2 buttons light turn feature cons 1 buttons lights quickly lights stay long enough 2 distance radio signal poor best interference obstacles front signal path 3 mouse wheel infrared sensor kind works well mouse wheel precise almost always lose track 4 due poor signals would constantly type something tv look pad look tv make sure signal took input sometimes would gave 3 stars lenovo least trying improve product really good job
AD,Bad,basic enough soo light would know nothing built dont common channels like walkie talkies also range short return due issues connecting daughters bluetooth phone horriblecant format fat32slow hell pisses everytime copy files junk stopped working using good luck trying figure warranty must remove plastic prism work distortion ridiculous like looking carnival mirror finger prints always visable matter haw well put put air bubble seem follow highly recommend broke first time got broke never buy product expensive piece garbage would seem easy way expand range downside range seems bit short allows phone charge charger fully charged downside hard get good clear picture youre never could get thing work right hook right connections get response monitor added dust bin useless parts 1 week number issues 1 able pair phone keyboard seemed problem 2 works less wire feel lot durablevery nicei bought friend happy purchase thing wish purchased cd dvd size lids fit well big really big opinion excessive care required handling boxes otherwise snaps come apart contents spills really wanted good ended throwing away use conventional plastic storage boxes speakers cause performance issue pc even room performance drops significantly many applications even work fried one hard drives altec says nothing wrong even though much farther 3 feet away hard drives stay away costs recommended bought wife loves also loves way speaker small plastic part also light easy take complaint cover thick ordered price good product would recommend anyone dont get even remotely close quality headphones headphones bargain friend said headphones good bad love thought going get headphones found fair price comfortable sound quality good im looking cheap usable tripod polaroid legit brand name gave try however tripod difficult use turning left right turning felt sluggish dual bubble level useless since couldnt keep position wanted ordered brand new one one got looked like used one maybe thats reason anyway review product received doesnt even transmit audio well way fix throw couple headphones box bought trs80a replacement older model pleasedi bought replace broken one bought tv want replace since tv cheap works fine seems last quite well made sturdy lightweight comfortable case reason gave 4 stars bit small laptop would definitely recommend little thin big update purchased case replace nonexistent case dell inspiron 134 laptop installed case inspiron 13 thankfully bought best buy wireless adapters router reason gave 5 stars using trs80 work well wireless adapter using return problem get free item best buy router update router replaced trs80 pleased router made mistake thinking maybe thinking amazon 47th street would acceptable substitute expensive lenses boy wrong lens vignettes color washed focus soft fuzzy get pay case didnt even get paid stay away lenses junk ps heard back 47th st return credit 4 days either update part situation wanted like tv first one ordered came damaged amazon true form damaged one picked new set greedy little hands three days one star well set would turn without reason wasnt problem remotes neighbors remotes live country problems getting customer service get tech nice helpful hard reset workeduntil six hours later went back turning really wanted set end much hassle read many reviews chose cost star ratings must gotten one lemons would recommend set buying amazon great return bought case store new ipad 3rd gen fit would slip smaller clips left side case hold device every awhile finally 4 days one clips snapped needless say im looking new case heres liked case thin didnt add much bulkiness device nice thick cover soft inside made feel screen would protected fauxleather cover dosent look fake didnt like band made hold device closed stopped using first day dont know break plus cover stays closed well small clips hold ipad case left side couldnt understand couldnt use longer band hold device like right side severely overpriced cable quality good true im big fan plastic cable makes much better hard get good sound cable excellentgreat price portable player cant wait use portable music player big deal portable player play back laptop really like fact listen music used couple times still working finei using 3ds tell works well great picture small cant find good picture would recommend product anyone want use 3d printer would recommend product anyone wants use 3d printeri used galaxy s7 works fine easy setup would recommend anyone looking nice quality solid quality item purchasing
